City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
4,Richards Bay,ZA,63.81,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
6,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Tura,IN,73.6,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
12,Korla,CN,77.81,overcast clouds,41.7597,86.1469,Gulisitan Hotel
14,Shiyan,CN,78.87,heavy intensity rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
18,Portland,US,87.94,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
20,Nacala,MZ,70.81,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
21,Vao,NC,66.13,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
23,Vanimo,PG,77.22,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
25,Domoni,KM,74.01,scattered clouds,-12.2569,44.5319,Al Djadid
30,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
33,Cap Malheureux,MU,70.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
35,Chake Chake,TZ,74.07,overcast clouds,-5.2459,39.7666,Hotel Archipelago
36,Nikolskoye,RU,64.4,clear sky,59.7035,30.7861,Tourist House - Sablino
37,Namibe,AO,68.77,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
41,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Abha,SA,66.45,scattered clouds,18.2164,42.5053,Abha Hotel
45,Asau,RO,76.12,clear sky,46.4333,26.4,Casa Mika Ciobanus
46,Banjarmasin,ID,75.34,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
47,Hithadhoo,MV,81.45,light rain,-0.6,73.0833,Scoop Guest House
49,Padang,ID,75.42,overcast clouds,-0.9492,100.3543,Mercure Padang
50,Mount Isa,AU,60.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
51,Matara,LK,78.89,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
52,Isangel,VU,66.87,overcast clouds,-19.55,169.2667,Tanna Lodge
53,Sagaing,MM,79.63,overcast clouds,21.8787,95.9797,Makara Cruise
55,Ashiya,JP,78.57,light rain,34.7281,135.3026,ホテル竹園芦屋
57,Kavieng,PG,81.41,clear sky,-2.5744,150.7967,Nusa Island Retreat
58,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
59,Makubetsu,JP,66.54,overcast clouds,45.3714,141.8211,RED BARON Bike Station Wakkanai
60,Zarya,RU,71.33,overcast clouds,55.7553,38.0958,Hotel Dali
63,Majene,ID,77.49,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
64,Khatanga,RU,62.56,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
65,Banjar,ID,78.66,clear sky,-8.19,114.9675,The Hamsa Resort
66,Port Blair,IN,81.86,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
67,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
71,Butaritari,KI,82.99,few clouds,3.0707,172.7902,Isles Sunset Lodge
73,Afzalpur,IN,75.15,broken clouds,17.2,76.35,SGK centre Kamat
78,Tera,NE,89.11,scattered clouds,14.0078,0.7531,Hotel Dar es salam
82,Teluk Nibung,ID,74.23,overcast clouds,3.001,99.8164,Hotel Assyifa
83,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
84,Grand Gaube,MU,70.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
85,Datong,CN,61.65,scattered clouds,40.0936,113.2914,Holiday Inn Datong City Centre
91,Bandarbeyla,SO,78.06,clear sky,9.4942,50.8122,JABIR HOTEL
92,Yinchuan,CN,76.41,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
94,Smila,UA,73.51,clear sky,49.2224,31.8871,Kolo Zhyttya
95,Dosso,NE,85.89,overcast clouds,13.049,3.1937,Hotel Toubal
96,Krasnogorsk,RU,71.19,mist,55.8225,37.3181,"Hotel ""Academy"""
98,Hobyo,SO,78.35,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
99,Pishin,PK,81.0,clear sky,30.5803,66.9961,City Hotel Pishin
100,Bilari,IN,82.98,overcast clouds,28.6333,78.8,Aditya Cyber Cafe
101,Den Helder,NL,61.99,few clouds,52.9599,4.7593,Hotel Den Helder
107,Zaliztsi,UA,70.77,overcast clouds,49.7919,25.373,Zona Dlya Piknikiv Iz Manhalamy
108,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
109,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
110,Yatou,CN,72.82,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
111,Hotaka,JP,72.45,overcast clouds,36.3396,137.8825,にし屋別荘
112,Suhbaatar,MN,64.51,overcast clouds,50.2314,106.2078,Hotel Nine
113,Luwingu,ZM,60.04,clear sky,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
118,Naze,JP,79.05,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
119,Wanning,CN,80.76,overcast clouds,18.8003,110.3967,Paradise Hotel
121,Jumla,NP,64.04,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
123,Bela,IN,77.72,overcast clouds,25.9333,81.9833,Raj Bhawan
126,Bundaberg,AU,62.89,scattered clouds,-24.85,152.35,Takalvan Motel
127,Fukue,JP,80.82,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
130,Wenling,CN,80.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
131,Hami,CN,69.06,broken clouds,42.8,93.45,Laoyutang Resort
133,Chirongui,YT,75.13,clear sky,-12.9319,45.1483,La Villa Mahatsara
134,Poum,NC,68.2,clear sky,-20.2333,164.0167,Gîte kajeon
135,Koumac,NC,62.78,clear sky,-20.5667,164.2833,Le Monitel
136,Port Keats,AU,75.0,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
137,Lorengau,PG,82.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Mirnyy,RU,60.24,overcast clouds,62.5353,113.9611,квартира
140,Morondava,MG,71.17,clear sky,-20.2833,44.2833,La Case Bambou
141,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
143,Thyboron,DK,60.19,few clouds,56.6985,8.2124,Thyborøn Hotel
144,Tevriz,RU,61.0,scattered clouds,57.509,72.4042,Postoyalyy Dvor
145,Maria Aurora,PH,78.55,moderate rain,15.7967,121.4737,Attic Travellers Inn
146,Honiara,SB,75.9,scattered clouds,-9.4333,159.95,Heritage Park Hotel
