City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Conditions
0,Sobolevo,54.4299,31.8996,66.22,73,100,0.31,RU,overcast clouds
1,Ostrovnoy,68.0531,39.5131,49.12,83,15,8.61,RU,few clouds
2,Alihe,50.5667,123.7167,47.48,97,8,2.48,CN,clear sky
3,Kargasok,59.0556,80.8572,51.71,87,24,5.44,RU,few clouds
4,Richards Bay,-28.783,32.0377,63.81,76,4,4.0,ZA,clear sky
5,Kaeo,-35.1,173.7833,49.32,92,20,5.1,NZ,few clouds
6,Saint-Philippe,-21.3585,55.7679,69.35,75,43,11.83,RE,scattered clouds
7,Kamenka,51.3223,42.7678,76.77,56,67,4.45,RU,broken clouds
8,Tura,25.5198,90.2201,73.6,98,87,3.44,IN,overcast clouds
9,Dikson,73.5069,80.5464,39.36,98,97,4.52,RU,overcast clouds
10,Opuwo,-18.0607,13.84,65.19,24,0,7.02,NA,clear sky
11,Sorland,67.667,12.6934,49.86,73,91,11.7,NO,overcast clouds
12,Korla,41.7597,86.1469,77.81,16,100,4.61,CN,overcast clouds
13,Nalut,30.3333,10.85,97.21,10,1,6.31,LY,clear sky
14,Shiyan,32.6475,110.7781,78.87,84,1,2.95,CN,heavy intensity rain
15,Busselton,-33.65,115.3333,52.56,76,100,8.21,AU,overcast clouds
16,Okhotsk,59.3833,143.3,57.63,55,0,12.77,RU,clear sky
17,Port Augusta,-32.5,137.7667,49.71,57,0,12.1,AU,clear sky
18,Portland,45.5234,-122.6762,87.94,51,1,0.0,US,clear sky
19,Berlevag,70.8578,29.0864,57.0,93,0,14.97,NO,clear sky
20,Nacala,-14.5428,40.6728,70.81,74,4,8.95,MZ,clear sky
21,Vao,-22.6667,167.4833,66.13,59,68,13.91,NC,broken clouds
22,Mount Gambier,-37.8333,140.7667,41.41,92,0,9.51,AU,clear sky
23,Vanimo,-2.6741,141.3028,77.22,89,36,4.43,PG,scattered clouds
24,Nogliki,51.8333,143.1667,53.38,87,100,8.19,RU,overcast clouds
25,Domoni,-12.2569,44.5319,74.01,81,27,6.49,KM,scattered clouds
26,Buraydah,26.326,43.975,92.26,9,6,6.91,SA,clear sky
27,Ulladulla,-35.35,150.4667,44.87,90,1,4.03,AU,clear sky
28,Doha,25.2867,51.5333,96.78,56,0,2.3,QA,clear sky
29,Zhaotong,27.3167,103.7167,58.62,74,0,0.76,CN,clear sky
30,Salalah,17.0151,54.0924,77.09,94,90,5.75,OM,overcast clouds
31,Nyrob,60.733,56.7202,53.78,95,0,2.17,RU,clear sky
32,Palana,59.1167,159.9667,43.74,96,100,0.98,RU,moderate rain
33,Cap Malheureux,-19.9842,57.6142,70.47,76,14,3.0,MU,few clouds
