City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2021-08-01 05:24:52,68.75,161.3,48.58,63,100,12.77
1,Puerto Escondido,MX,2021-08-01 05:27:12,15.85,-97.0667,80.92,84,82,5.88
2,Rio Grande,BR,2021-08-01 05:32:36,-32.035,-52.0986,50.04,94,3,4.14
3,Bima,ID,2021-08-01 05:32:36,-8.4667,118.7167,91.58,45,9,9.73
4,Hithadhoo,MV,2021-08-01 05:24:35,-0.6,73.0833,81.82,71,53,5.99
5,Harper,LR,2021-08-01 05:24:47,4.375,-7.7169,75.97,83,100,10.36
6,Port Alfred,ZA,2021-08-01 05:22:39,-33.5906,26.891,63.81,32,72,8.34
7,Tiksi,RU,2021-08-01 05:25:30,71.6872,128.8694,46.74,75,41,8.97
8,Verkhoyansk,RU,2021-08-01 05:32:37,67.5447,133.385,73.13,34,8,14.0
9,Butaritari,KI,2021-08-01 05:32:38,3.0707,172.7902,82.76,71,17,7.58
10,Atuona,PF,2021-08-01 05:32:38,-9.8,-139.0333,77.27,65,67,14.09
11,Jamestown,US,2021-08-01 05:32:39,42.097,-79.2353,64.71,90,75,3.0
12,Gushikawa,JP,2021-08-01 05:32:39,26.3544,127.8686,87.39,78,75,18.41
13,Kyra,RU,2021-08-01 05:32:39,49.5776,111.9753,72.48,49,40,4.03
14,Ilheus,BR,2021-08-01 05:32:40,-14.7889,-39.0494,64.29,86,86,9.22
15,Kodiak,US,2021-08-01 05:32:40,57.79,-152.4072,60.31,77,90,0.0
16,Port Blair,IN,2021-08-01 05:26:18,11.6667,92.75,84.45,78,100,19.89
17,Tuktoyaktuk,CA,2021-08-01 05:25:26,69.4541,-133.0374,66.2,72,75,9.22
18,Busselton,AU,2021-08-01 05:32:41,-33.65,115.3333,51.08,65,70,24.61
19,Kapaa,US,2021-08-01 05:32:19,22.0752,-159.319,84.18,77,40,3.0
20,Isangel,VU,2021-08-01 05:24:16,-19.55,169.2667,71.38,57,5,16.51
21,Albany,US,2021-08-01 05:24:01,42.6001,-73.9662,60.53,83,34,2.53
22,Manching,DE,2021-08-01 05:32:42,48.7166,11.4939,59.02,91,100,9.22
23,Jefferson City,US,2021-08-01 05:30:05,38.5767,-92.1735,72.91,79,90,7.0
24,Labuhan,ID,2021-08-01 05:32:43,-6.8844,112.2051,87.8,56,14,6.51
25,Mogok,MM,2021-08-01 05:32:43,22.9167,96.5,71.56,91,100,1.97
26,Puerto Ayora,EC,2021-08-01 05:32:43,-0.7393,-90.3518,71.55,92,5,7.0
27,Mataura,NZ,2021-08-01 05:32:44,-46.1927,168.8643,48.47,99,100,1.48
28,Srivardhan,IN,2021-08-01 05:32:44,18.0333,73.0167,82.83,78,99,16.22
